,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_p,traveltime_p,studytime_p,failures_p,schoolsup_p,famsup_p,paid_p,activities_p,nursery,higher_p,internet,romantic_p,famrel_p,freetime_p,goout_p,Dalc_p,Walc_p,health_p,absences_p,G1_por,G2_por,G3_por,guardian_m,traveltime_m,studytime_m,failures_m,schoolsup_m,famsup_m,paid_m,activities_m,higher_m,romantic_m,famrel_m,freetime_m,goout_m,Dalc_m,Walc_m,health_m,absences_m,G1_mat,G2_mat,G3_mat
0,GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4,0,11,11,mother,2.0,2.0,0.0,yes,no,no,no,yes,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,5.0,6.0,6.0
1,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,2,9,11,11,father,1.0,2.0,0.0,no,yes,no,no,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0
2,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,12,13,12,mother,1.0,2.0,3.0,yes,no,yes,no,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,7.0,8.0,10.0
3,GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,14,14,14,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15.0,14.0,15.0
4,GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,11,13,13,father,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,6.0,10.0,10.0
5,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,6,12,12,13,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,15.0,15.0
6,GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,13,12,13,mother,1.0,2.0,0.0,no,no,no,no,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0,12.0,11.0
7,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2,10,13,13,mother,2.0,2.0,0.0,yes,yes,no,no,yes,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0,5.0,6.0
8,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0,15,16,17,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,16.0,18.0,19.0
9,GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,14.0,15.0,15.0
10,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,2,14,14,14,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,10.0,8.0,9.0
11,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13,father,3.0,3.0,0.0,no,yes,no,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,4.0,10.0,12.0,12.0
